Strain : Tensile strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"100.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"42.70000","71.13247","1.83102"
"42.80000","71.29917","1.84565"
"42.90000","71.46606","1.85917"
"43.00000","71.63258","1.85944"
"43.10000","71.79923","1.85523"
"43.20000","71.96584","1.87323"
"43.30000","72.13248","1.89296"
"43.40000","72.29906","1.90002"
"43.50000","72.46563","1.90643"
"43.60000","72.63242","1.89555"
"43.70000","72.79919","1.92184"
"43.80000","72.96593","1.95813"
"43.90000","73.13263","1.97485"
"44.00000","73.29928","1.98258"
"44.10000","73.46572","1.98167"
"44.20000","73.63240","1.99626"
"44.30000","73.79907","2.02862"
"44.40000","73.96575","2.04111"
"44.50000","74.13242","2.05613"
"44.60000","74.29923","2.05383"
"44.70000","74.46607","2.07543"
"44.80000","74.63256","2.11417"
"44.90000","74.79926","2.13149"
"45.00000","74.96586","2.14093"
"45.10000","75.13245","2.14689"
"45.20000","75.29919","2.15166"
"45.30000","75.46574","2.18514"
"45.40000","75.63246","2.19597"
"45.50000","75.79916","2.19802"
"45.60000","75.96595","2.20896"
"45.70000","76.13255","2.24433"
"45.80000","76.29921","2.28504"
"45.90000","76.46585","2.31706"
"46.00000","76.63244","2.35622"
"46.10000","76.79909","2.36346"
"46.20000","76.96571","2.37058"
"46.30000","77.13248","2.38813"
"46.40000","77.29923","2.43001"
"46.50000","77.46587","2.47085"
"46.60000","77.63245","2.48835"
"46.70000","77.79918","2.53097"
"46.80000","77.96594","2.57359"
"46.90000","78.13255","2.60883"
"47.00000","78.29903","2.65154"
"47.10000","78.46568","2.70893"
"47.20000","78.63246","2.74192"
"47.30000","78.79919","2.76380"
"47.40000","78.96595","2.77254"
"47.50000","79.13262","2.78835"
"47.60000","79.29922","2.82730"
"47.70000","79.46587","2.85441"
"47.80000","79.63250","2.89092"
"47.90000","79.79914","2.93115"
"48.00000","79.96558","2.97636"
"48.10000","80.13235","3.02781"
"48.20000","80.29917","3.08001"
"48.30000","80.46601","3.14903"
"48.40000","80.63261","3.22273"
"48.50000","80.79926","3.25315"
"48.60000","80.96586","3.28135"
"48.70000","81.13246","3.29322"
"48.80000","81.29914","3.33841"
"48.90000","81.46577","3.37319"
"49.00000","81.63232","3.39883"
"49.10000","81.79926","3.44116"
"49.20000","81.96599","3.47769"
"49.30000","82.13256","3.53379"
"49.40000","82.29926","3.59494"
"49.50000","82.46582","3.66485"
"49.60000","82.63242","3.75035"
"49.70000","82.79908","3.81745"
"49.80000","82.96572","3.87230"
"49.90000","83.13257","3.91719"
"50.00000","83.29918","3.93039"
"50.10000","83.46597","3.95907"
"50.20000","83.63246","4.00801"
"50.30000","83.79912","4.06121"
"50.40000","83.96585","4.09691"
"50.50000","84.13244","4.13668"
"50.60000","84.29903","4.19480"
"50.70000","84.46564","4.26335"
"50.80000","84.63243","4.35594"
"50.90000","84.79932","4.43400"
"51.00000","84.96599","4.51766"
"51.10000","85.13255","4.58472"
"51.20000","85.29909","4.65098"
"51.30000","85.46583","4.69584"
"51.40000","85.63268","4.73495"
"51.50000","85.79909","4.76167"
"51.60000","85.96565","4.81522"
"51.70000","86.13245","4.86173"
"51.80000","86.29922","4.90114"
"51.90000","86.46593","4.95582"
"52.00000","86.63253","5.01741"
"52.10000","86.79925","5.11513"
"52.20000","86.96585","5.19441"
"52.30000","87.13246","5.28952"
"52.40000","87.29914","5.39468"
"52.50000","87.46561","5.47914"
"52.60000","87.63234","5.57435"
"52.70000","87.79923","5.65248"
"52.80000","87.96591","5.70794"
"52.90000","88.13261","5.76067"
"53.00000","88.29911","5.80337"
"53.10000","88.46590","5.85060"
"53.20000","88.63241","5.91148"
"53.30000","88.79910","5.97054"
"53.40000","88.96572","6.04353"
"53.50000","89.13231","6.12658"
"53.60000","89.29922","6.21614"
"53.70000","89.46600","6.30337"
"53.80000","89.63256","6.39731"
"53.90000","89.79929","6.48951"
"54.00000","89.96584","6.60140"
"54.02100","90.00095","6.62304"
