Strain : Tensile strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"100.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"31.70000","52.79921","1.63099"
"31.80000","52.96604","1.62575"
"31.90000","53.13245","1.63397"
"32.00000","53.29904","1.67014"
"32.10000","53.46572","1.67391"
"32.20000","53.63248","1.66429"
"32.30000","53.79924","1.67335"
"32.40000","53.96596","1.68230"
"32.50000","54.13253","1.71305"
"32.60000","54.29924","1.73578"
"32.70000","54.46582","1.73564"
"32.80000","54.63245","1.72856"
"32.90000","54.79914","1.73927"
"33.00000","54.96571","1.74813"
"33.10000","55.13240","1.74712"
"33.20000","55.29920","1.74338"
"33.30000","55.46624","1.73566"
"33.40000","55.63263","1.74496"
"33.50000","55.79926","1.75847"
"33.60000","55.96576","1.78919"
"33.70000","56.13252","1.79855"
"33.80000","56.29919","1.81138"
"33.90000","56.46569","1.80901"
"34.00000","56.63243","1.83630"
"34.10000","56.79929","1.84341"
"34.20000","56.96594","1.84198"
"34.30000","57.13254","1.84513"
"34.40000","57.29924","1.85344"
"34.50000","57.46580","1.90538"
"34.60000","57.63240","1.94223"
"34.70000","57.79905","1.96305"
"34.80000","57.96587","1.97178"
"34.90000","58.13249","1.96840"
"35.00000","58.29943","1.97759"
"35.10000","58.46593","1.97417"
"35.20000","58.63257","1.97153"
"35.30000","58.79919","1.95116"
"35.40000","58.96581","1.95664"
"35.50000","59.13238","1.98344"
"35.60000","59.29908","2.02771"
"35.70000","59.46592","2.05352"
"35.80000","59.63249","2.06912"
"35.90000","59.79926","2.08404"
"36.00000","59.96600","2.10078"
"36.10000","60.13258","2.11265"
"36.20000","60.29914","2.11740"
"36.30000","60.46580","2.12851"
"36.40000","60.63269","2.15448"
"36.50000","60.79910","2.20827"
"36.60000","60.96576","2.24878"
"36.70000","61.13255","2.31127"
"36.80000","61.29922","2.33467"
"36.90000","61.46597","2.35681"
"37.00000","61.63255","2.35292"
"37.10000","61.79915","2.35292"
"37.20000","61.96581","2.35739"
"37.30000","62.13252","2.36559"
"37.40000","62.29909","2.36535"
"37.50000","62.46573","2.38365"
"37.60000","62.63247","2.41272"
"37.70000","62.79923","2.44418"
"37.80000","62.96594","2.49379"
"37.90000","63.13273","2.52619"
"38.00000","63.29925","2.55594"
"38.10000","63.46583","2.58045"
"38.20000","63.63246","2.59794"
"38.30000","63.79915","2.60786"
"38.40000","63.96566","2.61095"
"38.50000","64.13245","2.63217"
"38.60000","64.29922","2.69859"
"38.70000","64.46597","2.77067"
"38.80000","64.63259","2.84896"
"38.90000","64.79918","2.91847"
"39.00000","64.96584","2.96847"
"39.10000","65.13248","2.99729"
"39.20000","65.29913","3.02833"
"39.30000","65.46561","3.06994"
"39.40000","65.63242","3.10608"
"39.50000","65.79932","3.12314"
"39.60000","65.96600","3.14856"
"39.70000","66.13254","3.17537"
"39.80000","66.29922","3.22479"
"39.90000","66.46580","3.28023"
"40.00000","66.63241","3.35534"
"40.10000","66.79906","3.41935"
"40.20000","66.96575","3.51534"
"40.30000","67.13252","3.58032"
"40.40000","67.29929","3.63081"
"40.50000","67.46601","3.68465"
"40.60000","67.63255","3.74045"
"40.70000","67.79916","3.81342"
"40.80000","67.96579","3.87904"
"40.90000","68.13239","3.90341"
"41.00000","68.29924","3.95816"
"41.10000","68.46582","4.02699"
"41.20000","68.63249","4.11400"
"41.30000","68.79928","4.22267"
"41.40000","68.96597","4.31851"
"41.50000","69.13252","4.41787"
"41.60000","69.29916","4.50559"
"41.70000","69.46573","4.59811"
"41.80000","69.63252","4.66646"
"41.90000","69.79911","4.71873"
"42.00000","69.96571","4.77477"
"42.10000","70.13249","4.85314"
"42.20000","70.29920","4.91653"
"42.30000","70.46595","4.97064"
"42.40000","70.63251","5.01803"
"42.50000","70.79924","5.08340"
"42.60000","70.96587","5.14499"
"42.70000","71.13249","5.21170"
"42.80000","71.29910","5.29489"
"42.90000","71.46576","5.40052"
"43.00000","71.63250","5.49917"
"43.10000","71.79926","5.59158"
"43.20000","71.96597","5.68074"
"43.30000","72.13259","5.75311"
"43.40000","72.29916","5.81772"
"43.50000","72.46574","5.86905"
"43.60000","72.63256","5.95378"
"43.70000","72.79910","6.03631"
"43.80000","72.96574","6.11508"
"43.90000","73.13230","6.19226"
"44.00000","73.29917","6.27574"
"44.10000","73.46605","6.36579"
"44.20000","73.63255","6.46030"
"44.30000","73.79929","6.56905"
"44.40000","73.96576","6.69965"
"44.50000","74.13233","6.81386"
"44.60000","74.29903","6.92939"
"44.70000","74.46570","7.04167"
"44.80000","74.63247","7.15023"
"44.90000","74.79935","7.23251"
"45.00000","74.96602","7.31506"
"45.02100","75.00098","7.33532"
