Strain : Tensile strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s

Time,Extension,Load
(s),(mm),(N)
"39.40000","58.24147","1.38834"
"39.50000","58.40820","1.39583"
"39.60000","58.57499","1.41685"
"39.70000","58.74154","1.40663"
"39.80000","58.90805","1.41884"
"39.90000","59.07470","1.41381"
"40.00000","59.24140","1.42312"
"40.10000","59.40807","1.42956"
"40.20000","59.57475","1.43002"
"40.30000","59.74139","1.43893"
"40.40000","59.90807","1.44375"
"40.50000","60.07482","1.47131"
"40.60000","60.24158","1.49036"
"40.70000","60.40820","1.50705"
"40.80000","60.57471","1.50788"
"40.90000","60.74138","1.50590"
"41.00000","60.90811","1.50984"
"41.10000","61.07482","1.51608"
"41.20000","61.24149","1.51580"
"41.30000","61.40816","1.51850"
"41.40000","61.57491","1.52351"
"41.50000","61.74147","1.53575"
"41.60000","61.90815","1.54342"
"41.70000","62.07476","1.54865"
"41.80000","62.24137","1.54602"
"41.90000","62.40807","1.55021"
"42.00000","62.57460","1.54775"
"42.10000","62.74143","1.56340"
"42.20000","62.90833","1.56072"
"42.30000","63.07495","1.54858"
"42.40000","63.24150","1.56880"
"42.50000","63.40812","1.57883"
"42.60000","63.57471","1.60703"
"42.70000","63.74139","1.60186"
"42.80000","63.90805","1.61837"
"42.90000","64.07473","1.63025"
"43.00000","64.24150","1.64684"
"43.10000","64.40826","1.65718"
"43.20000","64.57499","1.65425"
"43.30000","64.74149","1.65227"
"43.40000","64.90804","1.66669"
"43.50000","65.07462","1.67420"
"43.60000","65.24137","1.66981"
"43.70000","65.40820","1.66572"
"43.80000","65.57476","1.67940"
"43.90000","65.74136","1.67403"
"44.00000","65.90825","1.68484"
"44.10000","66.07495","1.69918"
"44.20000","66.24155","1.70151"
"44.30000","66.40805","1.70738"
"44.40000","66.57468","1.70512"
"44.50000","66.74139","1.72513"
"44.60000","66.90806","1.74502"
"44.70000","67.07481","1.75209"
"44.80000","67.24146","1.75828"
"44.90000","67.40819","1.77202"
"45.00000","67.57484","1.78754"
"45.10000","67.74149","1.78840"
"45.20000","67.90818","1.78839"
"45.30000","68.07481","1.79553"
"45.40000","68.24140","1.80147"
"45.50000","68.40806","1.83550"
"45.60000","68.57478","1.82916"
"45.70000","68.74157","1.82297"
"45.80000","68.90820","1.82175"
"45.90000","69.07493","1.83621"
"46.00000","69.24155","1.84798"
"46.10000","69.40810","1.85057"
"46.20000","69.57478","1.86184"
"46.30000","69.74142","1.86031"
"46.40000","69.90808","1.87646"
"46.50000","70.07467","1.89648"
"46.60000","70.24135","1.91297"
"46.70000","70.40823","1.93044"
"46.80000","70.57496","1.96087"
"46.90000","70.74166","1.95718"
"47.00000","70.90809","1.96528"
"47.10000","71.07470","1.97562"
"47.20000","71.24140","1.98858"
"47.30000","71.40803","1.98682"
"47.40000","71.57472","1.98708"
"47.50000","71.74149","2.00264"
"47.60000","71.90832","2.00239"
"47.70000","72.07494","2.02425"
"47.80000","72.24150","2.01679"
"47.90000","72.40811","2.06186"
"48.00000","72.57468","2.06591"
"48.10000","72.74131","2.06144"
"48.20000","72.90813","2.05610"
"48.30000","73.07488","2.05168"
"48.40000","73.24155","2.06348"
"48.50000","73.40819","2.09467"
"48.60000","73.57496","2.10642"
"48.70000","73.74152","2.12546"
"48.80000","73.90818","2.15209"
"48.90000","74.07471","2.19802"
"49.00000","74.24139","2.21685"
"49.10000","74.40803","2.23081"
"49.20000","74.57481","2.22928"
"49.30000","74.74145","2.25308"
"49.40000","74.90828","2.26108"
"49.50000","75.07498","2.28435"
"49.60000","75.24146","2.33305"
"49.70000","75.40801","2.33901"
"49.80000","75.57481","2.36160"
"49.90000","75.74143","2.39221"
"50.00000","75.90807","2.43189"
"50.10000","76.07475","2.44339"
"50.20000","76.24151","2.46029"
"50.30000","76.40830","2.49185"
"50.40000","76.57488","2.50900"
"50.50000","76.74153","2.52610"
"50.60000","76.90809","2.57181"
"50.70000","77.07469","2.62637"
"50.80000","77.24142","2.65587"
"50.90000","77.40817","2.72943"
"51.00000","77.57475","2.77050"
"51.10000","77.74140","2.80030"
"51.20000","77.90814","2.81609"
"51.30000","78.07496","2.84549"
"51.40000","78.24158","2.88965"
"51.50000","78.40835","2.92471"
"51.60000","78.57465","2.96452"
"51.70000","78.74139","3.01371"
"51.80000","78.90809","3.06208"
"51.90000","79.07475","3.11213"
"52.00000","79.24146","3.16022"
"52.10000","79.40820","3.21014"
"52.20000","79.57500","3.28238"
"52.30000","79.74152","3.35522"
"52.40000","79.90808","3.43120"
"52.50000","80.07472","3.48972"
"52.60000","80.24133","3.55069"
"52.70000","80.40798","3.58845"
"52.80000","80.57474","3.64541"
"52.90000","80.74171","3.70703"
"53.00000","80.90838","3.77300"
"53.10000","81.07489","3.83340"
"53.20000","81.24154","3.92828"
"53.30000","81.40815","3.97786"
"53.40000","81.57476","3.98936"
"53.50000","81.74136","4.05601"
"53.60000","81.90804","4.14454"
"53.70000","82.07474","4.24431"
"53.80000","82.24142","4.33761"
"53.90000","82.40824","4.41683"
"54.00000","82.57496","4.46760"
"54.10000","82.74151","4.55229"
"54.20000","82.90810","4.63809"
"54.30000","83.07471","4.70078"
"54.40000","83.24153","4.76512"
"54.50000","83.40815","4.81461"
"54.60000","83.57483","4.87993"
"54.70000","83.74152","4.97150"
"54.80000","83.90828","5.00643"
"54.90000","84.07496","5.07572"
"55.00000","84.24154","5.14944"
"55.10000","84.40806","5.20470"
"55.20000","84.57475","5.27533"
"55.30000","84.74129","5.35800"
"55.40000","84.90815","5.45055"
"55.50000","85.07484","5.55032"
"55.60000","85.24149","5.64262"
"55.70000","85.40815","5.72777"
"55.80000","85.57484","5.80097"
"55.90000","85.74155","5.89384"
"56.00000","85.90822","5.98300"
"56.10000","86.07476","6.05913"
"56.20000","86.24139","6.14712"
"56.30000","86.40813","6.24749"
"56.40000","86.57471","6.33980"
"56.50000","86.74146","6.42302"
"56.60000","86.90822","6.50797"
"56.70000","87.07490","6.59100"
"56.80000","87.24155","6.67669"
"56.90000","87.40814","6.77447"
"57.00000","87.57475","6.86128"
"57.10000","87.74139","6.94227"
"57.20000","87.90807","7.01355"
"57.25600","88.00147","7.03987"
