Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"75.00000",mm/min
General : Start date,"9/12/2024"

Time,Extension,Load
(s),(mm),(N)
"0.33800","0.39676","-0.00493"
"0.33900","0.39801","-0.00568"
"0.34000","0.39927","-0.00658"
"0.34100","0.40052","-0.00752"
"0.34200","0.40177","-0.00838"
"0.34300","0.40302","-0.00911"
"0.34400","0.40427","-0.00964"
"0.34500","0.40552","-0.01000"
"0.34600","0.40677","-0.01018"
"0.34700","0.40803","-0.01021"
"0.34800","0.40928","-0.01024"
"0.34900","0.41053","-0.01057"
"0.35000","0.41178","-0.01138"
"0.35100","0.41303","-0.01260"
"0.35200","0.41428","-0.01404"
"0.35300","0.41553","-0.01547"
"0.35400","0.41678","-0.01665"
"0.35500","0.41803","-0.01743"
"0.35600","0.41928","-0.01776"
"0.35700","0.42053","-0.01770"
"0.35800","0.42178","-0.01732"
"0.35900","0.42303","-0.01671"
"0.36000","0.42428","-0.01608"
"0.36100","0.42553","-0.01562"
"0.36200","0.42678","-0.01539"
"0.36300","0.42803","-0.01533"
"0.36400","0.42928","-0.01540"
"0.36500","0.43053","-0.01553"
"0.36600","0.43179","-0.01558"
"0.36700","0.43304","-0.01534"
"0.36800","0.43429","-0.01472"
"0.36900","0.43555","-0.01378"
"0.37000","0.43680","-0.01264"
"0.37100","0.43805","-0.01148"
"0.37200","0.43931","-0.01049"
"0.37300","0.44057","-0.00985"
"0.37400","0.44182","-0.00962"
"0.37500","0.44308","-0.00976"
"0.37600","0.44433","-0.01018"
"0.37700","0.44559","-0.01073"
"0.37800","0.44685","-0.01116"
"0.37900","0.44811","-0.01123"
"0.38000","0.44936","-0.01091"
"0.38100","0.45062","-0.01035"
"0.38200","0.45188","-0.00966"
"0.38300","0.45313","-0.00898"
"0.38400","0.45439","-0.00847"
"0.38500","0.45565","-0.00829"
"0.38600","0.45690","-0.00846"
"0.38700","0.45816","-0.00891"
"0.38800","0.45942","-0.00957"
"0.38900","0.46067","-0.01035"
"0.39000","0.46193","-0.01110"
"0.39100","0.46319","-0.01165"
"0.39200","0.46444","-0.01187"
"0.39300","0.46570","-0.01159"
"0.39400","0.46695","-0.01082"
"0.39500","0.46821","-0.00987"
"0.39600","0.46946","-0.00906"
"0.39700","0.47072","-0.00854"
"0.39800","0.47198","-0.00837"
"0.39900","0.47323","-0.00862"
"0.40000","0.47449","-0.00927"
"0.40100","0.47574","-0.01013"
"0.40200","0.47700","-0.01095"
"0.40300","0.47825","-0.01157"
"0.40400","0.47951","-0.01204"
"0.40500","0.48076","-0.01236"
"0.40600","0.48201","-0.01245"
"0.40700","0.48327","-0.01242"
"0.40800","0.48452","-0.01256"
"0.40900","0.48577","-0.01302"
"0.41000","0.48702","-0.01380"
"0.41100","0.48828","-0.01494"
"0.41200","0.48953","-0.01636"
"0.41300","0.49078","-0.01778"
"0.41400","0.49203","-0.01891"
"0.41500","0.49328","-0.01962"
"0.41600","0.49452","-0.01993"
"0.41700","0.49577","-0.01989"
"0.41800","0.49702","-0.01951"
"0.41900","0.49826","-0.01890"
"0.42000","0.49951","-0.01826"
"0.42100","0.50076","-0.01772"
"0.42200","0.50200","-0.01737"
"0.42300","0.50325","-0.01725"
"0.42400","0.50449","-0.01736"
"0.42500","0.50574","-0.01748"
"0.42600","0.50698","-0.01736"
"0.42700","0.50823","-0.01696"
"0.42800","0.50947","-0.01641"
"0.42900","0.51072","-0.01569"
"0.43000","0.51196","-0.01473"
"0.43100","0.51321","-0.01360"
"0.43200","0.51445","-0.01256"
"0.43300","0.51570","-0.01184"
"0.43400","0.51694","-0.01157"
"0.43500","0.51819","-0.01178"
"0.43600","0.51943","-0.01242"
"0.43700","0.52068","-0.01325"
"0.43800","0.52192","-0.01400"
"0.43900","0.52317","-0.01455"
"0.44000","0.52441","-0.01494"
"0.44100","0.52566","-0.01517"
"0.44200","0.52690","-0.01519"
"0.44300","0.52815","-0.01511"
"0.44400","0.52939","-0.01513"
"0.44500","0.53064","-0.01533"
"0.44600","0.53188","-0.01568"
"0.44700","0.53313","-0.01622"
"0.44800","0.53437","-0.01700"
"0.44900","0.53562","-0.01790"
"0.45000","0.53686","-0.01872"
"0.45100","0.53811","-0.01938"
"0.45200","0.53935","-0.01985"
"0.45300","0.54060","-0.02005"
"0.45400","0.54184","-0.01992"
"0.45500","0.54309","-0.01963"
"0.45600","0.54433","-0.01939"
"0.45700","0.54558","-0.01909"
"0.45800","0.54682","-0.01845"
"0.45900","0.54807","-0.01763"
"0.46000","0.54932","-0.01715"
"0.46100","0.55056","-0.01716"
"0.46200","0.55181","-0.01723"
"0.46300","0.55306","-0.01693"
"0.46400","0.55430","-0.01622"
"0.46500","0.55555","-0.01526"
"0.46600","0.55680","-0.01409"
"0.46700","0.55805","-0.01277"
"0.46800","0.55930","-0.01148"
"0.46900","0.56055","-0.01044"
"0.47000","0.56180","-0.00969"
"0.47100","0.56305","-0.00926"
"0.47200","0.56430","-0.00927"
"0.47300","0.56555","-0.00968"
"0.47400","0.56680","-0.01013"
"0.47500","0.56805","-0.01039"
"0.47600","0.56930","-0.01052"
"0.47700","0.57055","-0.01062"
"0.47800","0.57180","-0.01068"
"0.47900","0.57305","-0.01060"
"0.48000","0.57430","-0.01045"
"0.48100","0.57555","-0.01046"
"0.48200","0.57680","-0.01074"
"0.48300","0.57805","-0.01121"
"0.48400","0.57930","-0.01187"
"0.48500","0.58055","-0.01283"
"0.48600","0.58180","-0.01403"
"0.48700","0.58305","-0.01522"
"0.48800","0.58431","-0.01618"
"0.48900","0.58556","-0.01677"
"0.49000","0.58681","-0.01691"
"0.49100","0.58806","-0.01663"
"0.49200","0.58931","-0.01619"
"0.49300","0.59056","-0.01594"
"0.49400","0.59182","-0.01611"
"0.49500","0.59307","-0.01671"
