Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"75.00000",mm/min
General : Start date,"9/12/2024"

Time,Extension,Load
(s),(mm),(N)
"15.36000","19.17434","3.58449"
"15.36100","19.17559","3.58591"
"15.36200","19.17685","3.58706"
"15.36300","19.17810","3.58780"
"15.36400","19.17935","3.58812"
"15.36500","19.18060","3.58817"
"15.36600","19.18186","3.58806"
"15.36700","19.18311","3.58793"
"15.36800","19.18436","3.58797"
"15.36900","19.18562","3.58825"
"15.37000","19.18687","3.58878"
"15.37100","19.18813","3.58944"
"15.37200","19.18938","3.59004"
"15.37300","19.19063","3.59043"
"15.37400","19.19189","3.59065"
"15.37500","19.19314","3.59076"
"15.37600","19.19440","3.59064"
"15.37700","19.19565","3.59014"
"15.37800","19.19691","3.58934"
"15.37900","19.19816","3.58847"
"15.38000","19.19941","3.58773"
"15.38100","19.20067","3.58721"
"15.38200","19.20192","3.58710"
"15.38300","19.20317","3.58776"
"15.38400","19.20443","3.58915"
"15.38500","19.20568","3.59057"
"15.38600","19.20693","3.59138"
"15.38700","19.20819","3.59168"
"15.38800","19.20944","3.59192"
"15.38900","19.21069","3.59230"
"15.39000","19.21194","3.59273"
"15.39100","19.21319","3.59323"
"15.39200","19.21445","3.59400"
"15.39300","19.21570","3.59518"
"15.39400","19.21695","3.59657"
"15.39500","19.21820","3.59803"
"15.39600","19.21945","3.59956"
"15.39700","19.22071","3.60112"
"15.39800","19.22196","3.60245"
"15.39900","19.22321","3.60337"
"15.40000","19.22446","3.60389"
"15.40100","19.22571","3.60408"
"15.40200","19.22697","3.60399"
"15.40300","19.22822","3.60375"
"15.40400","19.22947","3.60360"
"15.40500","19.23072","3.60370"
"15.40600","19.23197","3.60396"
"15.40700","19.23322","3.60419"
"15.40800","19.23448","3.60433"
"15.40900","19.23573","3.60434"
"15.41000","19.23698","3.60410"
"15.41100","19.23823","3.60370"
"15.41200","19.23948","3.60325"
"15.41300","19.24073","3.60258"
"15.41400","19.24198","3.60145"
"15.41500","19.24322","3.60006"
"15.41600","19.24447","3.59897"
"15.41700","19.24572","3.59859"
"15.41800","19.24697","3.59883"
"15.41900","19.24821","3.59930"
"15.42000","19.24946","3.59991"
"15.42100","19.25071","3.60079"
"15.42200","19.25195","3.60189"
"15.42300","19.25320","3.60286"
"15.42400","19.25445","3.60354"
"15.42500","19.25569","3.60401"
"15.42600","19.25694","3.60440"
"15.42700","19.25819","3.60476"
"15.42800","19.25943","3.60518"
"15.42900","19.26068","3.60581"
"15.43000","19.26193","3.60674"
"15.43100","19.26317","3.60791"
"15.43200","19.26442","3.60922"
"15.43300","19.26567","3.61054"
"15.43400","19.26691","3.61178"
"15.43500","19.26816","3.61282"
"15.43600","19.26941","3.61353"
"15.43700","19.27065","3.61393"
"15.43800","19.27190","3.61416"
"15.43900","19.27315","3.61429"
"15.44000","19.27439","3.61443"
"15.44100","19.27564","3.61489"
"15.44200","19.27689","3.61581"
"15.44300","19.27813","3.61710"
"15.44400","19.27938","3.61863"
"15.44500","19.28062","3.62029"
"15.44600","19.28187","3.62181"
"15.44700","19.28311","3.62290"
"15.44800","19.28436","3.62344"
"15.44900","19.28560","3.62365"
"15.45000","19.28685","3.62387"
"15.45100","19.28809","3.62422"
"15.45200","19.28934","3.62460"
"15.45300","19.29058","3.62511"
"15.45400","19.29182","3.62610"
"15.45500","19.29307","3.62763"
"15.45600","19.29431","3.62940"
"15.45700","19.29556","3.63108"
"15.45800","19.29680","3.63252"
"15.45900","19.29805","3.63359"
"15.46000","19.29929","3.63412"
"15.46100","19.30054","3.63405"
"15.46200","19.30178","3.63361"
"15.46300","19.30303","3.63313"
"15.46400","19.30428","3.63280"
"15.46500","19.30552","3.63264"
"15.46600","19.30677","3.63265"
"15.46700","19.30802","3.63293"
"15.46800","19.30927","3.63337"
"15.46900","19.31052","3.63378"
"15.47000","19.31177","3.63400"
"15.47100","19.31301","3.63391"
"15.47200","19.31426","3.63340"
"15.47300","19.31552","3.63249"
"15.47400","19.31676","3.63136"
"15.47500","19.31801","3.63033"
"15.47600","19.31926","3.62970"
"15.47700","19.32051","3.62944"
"15.47800","19.32177","3.62939"
"15.47900","19.32302","3.62954"
"15.48000","19.32427","3.63002"
"15.48100","19.32552","3.63075"
"15.48200","19.32677","3.63145"
"15.48300","19.32802","3.63191"
"15.48400","19.32927","3.63208"
"15.48500","19.33053","3.63205"
"15.48600","19.33178","3.63190"
"15.48700","19.33303","3.63168"
"15.48800","19.33428","3.63170"
"15.48900","19.33554","3.63242"
"15.49000","19.33679","3.63400"
"15.49100","19.33804","3.63622"
"15.49200","19.33929","3.63855"
"15.49300","19.34055","3.64039"
"15.49400","19.34180","3.64160"
"15.49500","19.34306","3.64247"
"15.49600","19.34431","3.64317"
"15.49700","19.34556","3.64352"
"15.49800","19.34682","3.64345"
"15.49900","19.34807","3.64327"
"15.50000","19.34933","3.64335"
"15.50100","19.35058","3.64366"
"15.50200","19.35183","3.64405"
"15.50300","19.35309","3.64456"
"15.50400","19.35434","3.64535"
"15.50500","19.35560","3.64633"
"15.50600","19.35685","3.64721"
"15.50700","19.35811","3.64792"
"15.50800","19.35936","3.64845"
"15.50900","19.36061","3.64860"
"15.51000","19.36187","3.64813"
"15.51100","19.36312","3.64720"
"15.51200","19.36438","3.64623"
"15.51300","19.36563","3.64550"
"15.51400","19.36688","3.64504"
"15.51500","19.36814","3.64485"
"15.51600","19.36939","3.64492"
"15.51700","19.37065","3.64515"
"15.51800","19.37190","3.64534"
"15.51900","19.37316","3.64540"
"15.52000","19.37441","3.64535"
"15.52100","19.37567","3.64516"
"15.52200","19.37692","3.64477"
"15.52300","19.37818","3.64429"
"15.52400","19.37943","3.64394"
"15.52500","19.38069","3.64381"
"15.52600","19.38194","3.64389"
"15.52700","19.38320","3.64417"
"15.52800","19.38445","3.64462"
"15.52900","19.38570","3.64516"
"15.53000","19.38696","3.64567"
"15.53100","19.38821","3.64609"
"15.53200","19.38947","3.64638"
"15.53300","19.39072","3.64657"
"15.53400","19.39198","3.64664"
"15.53500","19.39323","3.64649"
"15.53600","19.39449","3.64617"
"15.53700","19.39574","3.64600"
"15.53800","19.39700","3.64624"
"15.53900","19.39825","3.64696"
"15.54000","19.39950","3.64805"
"15.54100","19.40076","3.64932"
"15.54200","19.40201","3.65056"
"15.54300","19.40326","3.65153"
"15.54400","19.40452","3.65200"
"15.54500","19.40577","3.65202"
"15.54600","19.40702","3.65191"
"15.54700","19.40827","3.65193"
"15.54800","19.40952","3.65198"
"15.54900","19.41078","3.65197"
"15.55000","19.41203","3.65211"
"15.55100","19.41328","3.65262"
"15.55200","19.41453","3.65354"
"15.55300","19.41578","3.65475"
"15.55400","19.41703","3.65613"
"15.55500","19.41828","3.65753"
"15.55600","19.41953","3.65882"
"15.55700","19.42078","3.65987"
"15.55800","19.42203","3.66065"
"15.55900","19.42328","3.66157"
"15.56000","19.42452","3.66307"
"15.56100","19.42577","3.66431"
"15.56200","19.42702","3.66412"
"15.56300","19.42827","3.66312"
"15.56400","19.42952","3.66303"
"15.56500","19.43076","3.66431"
"15.56600","19.43201","3.66571"
"15.56700","19.43326","3.66606"
"15.56800","19.43451","3.66569"
"15.56900","19.43575","3.66562"
"15.57000","19.43700","3.66582"
"15.57100","19.43825","3.66545"
"15.57200","19.43950","3.66449"
"15.57300","19.44074","3.66375"
"15.57400","19.44199","3.66347"
"15.57500","19.44324","3.66339"
"15.57600","19.44448","3.66353"
"15.57700","19.44573","3.66398"
"15.57800","19.44698","3.66445"
"15.57900","19.44823","3.66469"
"15.58000","19.44947","3.66474"
"15.58100","19.45072","3.66456"
"15.58200","19.45196","3.66399"
"15.58300","19.45321","3.66306"
"15.58400","19.45445","3.66215"
"15.58500","19.45570","3.66169"
"15.58600","19.45694","3.66168"
"15.58700","19.45819","3.66191"
"15.58800","19.45943","3.66257"
"15.58900","19.46068","3.66392"
"15.59000","19.46192","3.66556"
"15.59100","19.46317","3.66689"
"15.59200","19.46441","3.66793"
"15.59300","19.46565","3.66882"
"15.59400","19.46690","3.66932"
"15.59500","19.46814","3.66917"
"15.59600","19.46939","3.66867"
"15.59700","19.47063","3.66837"
"15.59800","19.47188","3.66846"
"15.59900","19.47313","3.66882"
"15.60000","19.47437","3.66931"
"15.60100","19.47562","3.66993"
"15.60200","19.47686","3.67061"
"15.60300","19.47811","3.67116"
"15.60400","19.47936","3.67150"
"15.60500","19.48060","3.67161"
"15.60600","19.48185","3.67137"
"15.60700","19.48310","3.67072"
"15.60800","19.48434","3.66996"
"15.60900","19.48559","3.66936"
"15.61000","19.48684","3.66882"
"15.61100","19.48808","3.66829"
"15.61200","19.48933","3.66798"
"15.61300","19.49058","3.66813"
"15.61400","19.49183","3.66886"
"15.61500","19.49307","3.66990"
"15.61600","19.49432","3.67071"
"15.61700","19.49557","3.67101"
"15.61800","19.49681","3.67093"
"15.61900","19.49806","3.67082"
"15.62000","19.49931","3.67093"
"15.62100","19.50055","3.67133"
"15.62200","19.50180","3.67183"
"15.62300","19.50305","3.67246"
"15.62400","19.50429","3.67344"
"15.62500","19.50554","3.67484"
"15.62600","19.50679","3.67642"
"15.62700","19.50804","3.67790"
"15.62800","19.50928","3.67917"
"15.62900","19.51053","3.68012"
"15.63000","19.51178","3.68064"
"15.63100","19.51303","3.68073"
"15.63200","19.51428","3.68046"
"15.63300","19.51553","3.68010"
"15.63400","19.51678","3.67994"
"15.63500","19.51803","3.68007"
"15.63600","19.51929","3.68044"
"15.63700","19.52053","3.68099"
"15.63800","19.52179","3.68164"
"15.63900","19.52304","3.68226"
"15.64000","19.52429","3.68268"
"15.64100","19.52554","3.68275"
"15.64200","19.52679","3.68239"
"15.64300","19.52804","3.68169"
"15.64400","19.52929","3.68086"
"15.64500","19.53054","3.68003"
"15.64600","19.53179","3.67934"
"15.64700","19.53304","3.67917"
"15.64800","19.53429","3.67988"
"15.64900","19.53554","3.68121"
"15.65000","19.53679","3.68258"
"15.65100","19.53804","3.68369"
"15.65200","19.53929","3.68468"
"15.65300","19.54054","3.68581"
"15.65400","19.54180","3.68700"
"15.65500","19.54305","3.68796"
"15.65600","19.54430","3.68866"
"15.65700","19.54555","3.68938"
"15.65800","19.54680","3.69031"
"15.65900","19.54806","3.69144"
"15.66000","19.54931","3.69280"
"15.66100","19.55056","3.69441"
"15.66200","19.55181","3.69614"
"15.66300","19.55307","3.69777"
"15.66400","19.55432","3.69913"
"15.66500","19.55557","3.70011"
"15.66600","19.55683","3.70063"
"15.66700","19.55808","3.70071"
"15.66800","19.55934","3.70046"
"15.66900","19.56059","3.70007"
"15.67000","19.56185","3.69973"
"15.67100","19.56310","3.69954"
"15.67200","19.56436","3.69958"
"15.67300","19.56561","3.69981"
"15.67400","19.56686","3.70014"
"15.67500","19.56812","3.70046"
"15.67600","19.56937","3.70059"
"15.67700","19.57063","3.70043"
"15.67800","19.57188","3.70017"
"15.67900","19.57314","3.69996"
"15.68000","19.57439","3.69969"
"15.68100","19.57564","3.69921"
"15.68200","19.57689","3.69870"
"15.68300","19.57815","3.69854"
"15.68400","19.57940","3.69898"
"15.68500","19.58065","3.69984"
"15.68600","19.58191","3.70087"
"15.68700","19.58316","3.70200"
"15.68800","19.58441","3.70316"
"15.68900","19.58566","3.70409"
"15.69000","19.58692","3.70464"
"15.69100","19.58817","3.70496"
"15.69200","19.58942","3.70508"
"15.69300","19.59067","3.70494"
"15.69400","19.59192","3.70464"
"15.69500","19.59317","3.70456"
"15.69600","19.59443","3.70488"
"15.69700","19.59568","3.70548"
"15.69800","19.59693","3.70626"
"15.69900","19.59818","3.70721"
"15.70000","19.59943","3.70817"
"15.70100","19.60068","3.70879"
"15.70200","19.60193","3.70893"
"15.70300","19.60318","3.70876"
"15.70400","19.60442","3.70844"
"15.70500","19.60567","3.70793"
"15.70600","19.60692","3.70726"
"15.70700","19.60817","3.70685"
"15.70800","19.60942","3.70717"
"15.70900","19.61067","3.70810"
"15.71000","19.61192","3.70912"
"15.71100","19.61316","3.70992"
"15.71200","19.61441","3.71061"
"15.71300","19.61566","3.71130"
"15.71400","19.61691","3.71182"
"15.71500","19.61815","3.71197"
"15.71600","19.61940","3.71174"
"15.71700","19.62065","3.71133"
"15.71800","19.62189","3.71093"
"15.71900","19.62314","3.71061"
"15.72000","19.62439","3.71061"
"15.72100","19.62564","3.71124"
"15.72200","19.62688","3.71233"
"15.72300","19.62813","3.71344"
"15.72400","19.62938","3.71434"
"15.72500","19.63062","3.71511"
"15.72600","19.63187","3.71575"
"15.72700","19.63311","3.71611"
"15.72800","19.63436","3.71612"
"15.72900","19.63561","3.71591"
"15.73000","19.63685","3.71576"
"15.73100","19.63810","3.71580"
"15.73200","19.63934","3.71609"
"15.73300","19.64059","3.71677"
"15.73400","19.64183","3.71777"
"15.73500","19.64308","3.71878"
"15.73600","19.64432","3.71967"
"15.73700","19.64557","3.72068"
"15.73800","19.64681","3.72180"
"15.73900","19.64805","3.72262"
"15.74000","19.64930","3.72295"
"15.74100","19.65054","3.72310"
"15.74200","19.65179","3.72342"
"15.74300","19.65303","3.72388"
"15.74400","19.65428","3.72437"
"15.74500","19.65552","3.72497"
"15.74600","19.65677","3.72575"
"15.74700","19.65801","3.72646"
"15.74800","19.65926","3.72691"
"15.74900","19.66051","3.72741"
"15.75000","19.66175","3.72826"
"15.75100","19.66300","3.72904"
"15.75200","19.66424","3.72913"
"15.75300","19.66549","3.72874"
"15.75400","19.66673","3.72866"
"15.75500","19.66798","3.72927"
"15.75600","19.66923","3.73038"
"15.75700","19.67047","3.73189"
"15.75800","19.67172","3.73378"
"15.75900","19.67296","3.73569"
"15.76000","19.67421","3.73719"
"15.76100","19.67546","3.73834"
"15.76200","19.67670","3.73946"
"15.76300","19.67795","3.74047"
"15.76400","19.67920","3.74101"
"15.76500","19.68045","3.74114"
"15.76600","19.68170","3.74136"
"15.76700","19.68294","3.74182"
"15.76800","19.68419","3.74234"
"15.76900","19.68544","3.74298"
"15.77000","19.68669","3.74398"
"15.77100","19.68794","3.74520"
"15.77200","19.68919","3.74624"
"15.77300","19.69044","3.74703"
"15.77400","19.69169","3.74778"
"15.77500","19.69295","3.74842"
"15.77600","19.69420","3.74861"
"15.77700","19.69545","3.74832"
"15.77800","19.69670","3.74796"
"15.77900","19.69796","3.74793"
"15.78000","19.69921","3.74816"
"15.78100","19.70046","3.74840"
"15.78200","19.70172","3.74867"
"15.78300","19.70297","3.74910"
"15.78400","19.70422","3.74966"
"15.78500","19.70548","3.75026"
"15.78600","19.70673","3.75084"
"15.78700","19.70798","3.75129"
"15.78800","19.70924","3.75147"
"15.78900","19.71049","3.75144"
"15.79000","19.71175","3.75140"
"15.79100","19.71300","3.75153"
"15.79200","19.71426","3.75189"
"15.79300","19.71551","3.75240"
"15.79400","19.71677","3.75305"
"15.79500","19.71803","3.75391"
"15.79600","19.71928","3.75492"
"15.79700","19.72054","3.75589"
"15.79800","19.72179","3.75668"
"15.79900","19.72305","3.75711"
"15.80000","19.72430","3.75703"
"15.80100","19.72556","3.75653"
"15.80200","19.72682","3.75588"
"15.80300","19.72807","3.75532"
"15.80400","19.72933","3.75492"
"15.80500","19.73058","3.75472"
"15.80600","19.73184","3.75481"
"15.80700","19.73309","3.75520"
"15.80800","19.73435","3.75572"
"15.80900","19.73560","3.75603"
"15.81000","19.73686","3.75594"
"15.81100","19.73811","3.75557"
"15.81200","19.73936","3.75495"
"15.81300","19.74062","3.75405"
"15.81400","19.74187","3.75314"
"15.81500","19.74312","3.75256"
"15.81600","19.74437","3.75225"
"15.81700","19.74562","3.75199"
"15.81800","19.74687","3.75186"
"15.81900","19.74812","3.75221"
"15.82000","19.74937","3.75318"
"15.82100","19.75062","3.75454"
"15.82200","19.75187","3.75601"
"15.82300","19.75312","3.75748"
"15.82400","19.75437","3.75864"
"15.82500","19.75562","3.75899"
"15.82600","19.75687","3.75854"
"15.82700","19.75812","3.75794"
"15.82800","19.75937","3.75780"
"15.82900","19.76062","3.75811"
"15.83000","19.76188","3.75866"
"15.83100","19.76312","3.75944"
"15.83200","19.76438","3.76041"
"15.83300","19.76563","3.76134"
"15.83400","19.76688","3.76193"
"15.83500","19.76813","3.76215"
"15.83600","19.76938","3.76210"
"15.83700","19.77063","3.76180"
"15.83800","19.77188","3.76124"
"15.83900","19.77313","3.76055"
"15.84000","19.77438","3.75999"
"15.84100","19.77563","3.75964"
"15.84200","19.77688","3.75942"
"15.84300","19.77813","3.75923"
"15.84400","19.77938","3.75917"
"15.84500","19.78063","3.75943"
"15.84600","19.78188","3.75998"
"15.84700","19.78313","3.76037"
"15.84800","19.78438","3.76019"
"15.84900","19.78563","3.75945"
"15.85000","19.78688","3.75851"
"15.85100","19.78813","3.75770"
"15.85200","19.78938","3.75718"
"15.85300","19.79063","3.75705"
"15.85400","19.79188","3.75748"
"15.85500","19.79313","3.75856"
"15.85600","19.79438","3.76011"
"15.85700","19.79563","3.76191"
"15.85800","19.79688","3.76371"
"15.85900","19.79813","3.76509"
"15.86000","19.79938","3.76562"
"15.86100","19.80062","3.76552"
"15.86200","19.80188","3.76540"
"15.86300","19.80313","3.76553"
"15.86400","19.80437","3.76567"
"15.86500","19.80563","3.76578"
"15.86600","19.80688","3.76615"
"15.86700","19.80812","3.76696"
"15.86800","19.80938","3.76793"
"15.86900","19.81063","3.76866"
"15.87000","19.81188","3.76912"
"15.87100","19.81313","3.76942"
"15.87200","19.81437","3.76950"
"15.87300","19.81563","3.76929"
"15.87400","19.81688","3.76899"
"15.87500","19.81812","3.76886"
"15.87600","19.81938","3.76890"
"15.87700","19.82063","3.76903"
"15.87800","19.82187","3.76941"
"15.87900","19.82312","3.77022"
"15.88000","19.82437","3.77135"
"15.88100","19.82562","3.77255"
"15.88200","19.82687","3.77363"
"15.88300","19.82811","3.77464"
"15.88400","19.82936","3.77573"
"15.88500","19.83061","3.77683"
"15.88600","19.83186","3.77778"
"15.88700","19.83310","3.77856"
"15.88800","19.83435","3.77934"
"15.88900","19.83560","3.78033"
"15.89000","19.83685","3.78169"
"15.89100","19.83809","3.78345"
"15.89200","19.83934","3.78547"
"15.89300","19.84059","3.78759"
"15.89400","19.84183","3.78959"
"15.89500","19.84308","3.79126"
"15.89600","19.84433","3.79248"
"15.89700","19.84557","3.79329"
"15.89800","19.84682","3.79381"
"15.89900","19.84807","3.79419"
"15.90000","19.84931","3.79455"
"15.90100","19.85056","3.79493"
"15.90200","19.85180","3.79539"
"15.90300","19.85305","3.79601"
"15.90400","19.85430","3.79676"
"15.90500","19.85554","3.79751"
"15.90600","19.85679","3.79811"
"15.90700","19.85804","3.79837"
"15.90800","19.85928","3.79816"
"15.90900","19.86053","3.79754"
"15.91000","19.86177","3.79659"
"15.91100","19.86302","3.79533"
"15.91200","19.86427","3.79402"
"15.91300","19.86551","3.79306"
"15.91400","19.86676","3.79255"
"15.91500","19.86801","3.79221"
"15.91600","19.86925","3.79181"
"15.91700","19.87050","3.79141"
"15.91800","19.87175","3.79118"
"15.91900","19.87300","3.79113"
"15.92000","19.87424","3.79102"
"15.92100","19.87549","3.79073"
"15.92200","19.87674","3.79046"
"15.92300","19.87799","3.79033"
"15.92400","19.87924","3.79017"
"15.92500","19.88049","3.79001"
"15.92600","19.88175","3.79015"
"15.92700","19.88300","3.79074"
"15.92800","19.88425","3.79166"
"15.92900","19.88550","3.79274"
"15.93000","19.88675","3.79387"
"15.93100","19.88801","3.79497"
"15.93200","19.88926","3.79594"
"15.93300","19.89051","3.79661"
"15.93400","19.89177","3.79691"
"15.93500","19.89302","3.79695"
"15.93600","19.89428","3.79685"
"15.93700","19.89553","3.79678"
"15.93800","19.89679","3.79699"
"15.93900","19.89804","3.79762"
"15.94000","19.89929","3.79853"
"15.94100","19.90055","3.79950"
"15.94200","19.90180","3.80041"
"15.94300","19.90306","3.80132"
"15.94400","19.90431","3.80226"
"15.94500","19.90557","3.80308"
"15.94600","19.90682","3.80350"
"15.94700","19.90808","3.80343"
"15.94800","19.90934","3.80319"
"15.94900","19.91059","3.80317"
"15.95000","19.91184","3.80352"
"15.95100","19.91310","3.80416"
"15.95200","19.91435","3.80507"
"15.95300","19.91561","3.80628"
"15.95400","19.91686","3.80769"
"15.95500","19.91812","3.80902"
"15.95600","19.91937","3.81004"
"15.95700","19.92063","3.81072"
"15.95800","19.92188","3.81113"
"15.95900","19.92314","3.81124"
"15.96000","19.92439","3.81109"
"15.96100","19.92565","3.81085"
"15.96200","19.92690","3.81068"
"15.96300","19.92816","3.81071"
"15.96400","19.92941","3.81100"
"15.96500","19.93067","3.81155"
"15.96600","19.93192","3.81218"
"15.96700","19.93318","3.81253"
"15.96800","19.93443","3.81239"
"15.96900","19.93569","3.81178"
"15.97000","19.93694","3.81086"
"15.97100","19.93820","3.80972"
"15.97200","19.93946","3.80849"
"15.97300","19.94071","3.80740"
"15.97400","19.94197","3.80657"
"15.97500","19.94322","3.80602"
"15.97600","19.94448","3.80573"
"15.97700","19.94573","3.80636"
"15.97800","19.94699","3.80942"
"15.97900","19.94824","3.81486"
"15.98000","19.94949","3.81926"
"15.98100","19.95075","3.81931"
"15.98200","19.95200","3.81572"
"15.98300","19.95325","3.81193"
"15.98400","19.95451","3.81021"
"15.98500","19.95576","3.81002"
"15.98600","19.95701","3.80985"
"15.98700","19.95827","3.80938"
"15.98800","19.95952","3.80932"
"15.98900","19.96077","3.80993"
"15.99000","19.96202","3.81090"
"15.99100","19.96327","3.81222"
"15.99200","19.96453","3.81356"
"15.99300","19.96578","3.81406"
"15.99400","19.96704","3.81373"
"15.99500","19.96829","3.81350"
"15.99600","19.96955","3.81360"
"15.99700","19.97080","3.81349"
"15.99800","19.97206","3.81310"
"15.99900","19.97331","3.81303"
"16.00000","19.97457","3.81353"
"16.00100","19.97583","3.81422"
"16.00200","19.97709","3.81473"
"16.00300","19.97834","3.81526"
"16.00400","19.97960","3.81605"
"16.00500","19.98086","3.81667"
"16.00600","19.98211","3.81670"
"16.00700","19.98337","3.81643"
"16.00800","19.98463","3.81613"
"16.00900","19.98588","3.81544"
"16.01000","19.98714","3.81431"
"16.01100","19.98840","3.81365"
"16.01200","19.98965","3.81409"
"16.01300","19.99090","3.81515"
"16.01400","19.99216","3.81613"
"16.01500","19.99341","3.81682"
"16.01600","19.99466","3.81736"
"16.01700","19.99591","3.81780"
"16.01800","19.99716","3.81802"
"16.01900","19.99841","3.81805"
"16.02000","19.99966","3.81801"
"16.02100","20.00091","3.81789"
"16.02200","20.00216","3.81778"
"16.02300","20.00340","3.81804"
"16.02400","20.00465","3.81880"
"16.02500","20.00590","3.81964"
"16.02600","20.00714","3.82029"
"16.02700","20.00839","3.82099"
"16.02800","20.00963","3.82184"
"16.02900","20.01088","3.82245"
"16.03000","20.01212","3.82254"
"16.03100","20.01337","3.82231"
"16.03200","20.01461","3.82209"
"16.03300","20.01585","3.82188"
"16.03400","20.01710","3.82153"
"16.03500","20.01834","3.82132"
"16.03600","20.01958","3.82177"
"16.03700","20.02083","3.82295"
"16.03800","20.02207","3.82443"
"16.03900","20.02331","3.82582"
"16.04000","20.02456","3.82696"
"16.04100","20.02580","3.82769"
"16.04200","20.02704","3.82795"
"16.04300","20.02828","3.82802"
"16.04400","20.02952","3.82815"
"16.04500","20.03076","3.82823"
"16.04600","20.03200","3.82802"
"16.04700","20.03324","3.82745"
"16.04800","20.03448","3.82684"
"16.04900","20.03572","3.82685"
"16.05000","20.03696","3.82783"
"16.05100","20.03820","3.82938"
"16.05200","20.03944","3.83075"
"16.05300","20.04069","3.83151"
"16.05400","20.04193","3.83186"
"16.05500","20.04317","3.83226"
"16.05600","20.04441","3.83291"
"16.05700","20.04565","3.83356"
"16.05800","20.04689","3.83410"
"16.05900","20.04814","3.83476"
"16.06000","20.04938","3.83577"
"16.06100","20.05062","3.83711"
"16.06200","20.05186","3.83868"
"16.06300","20.05311","3.84025"
"16.06400","20.05435","3.84156"
"16.06500","20.05560","3.84250"
"16.06600","20.05684","3.84306"
"16.06700","20.05809","3.84322"
"16.06800","20.05933","3.84301"
"16.06900","20.06058","3.84253"
"16.07000","20.06183","3.84199"
"16.07100","20.06307","3.84175"
"16.07200","20.06432","3.84195"
"16.07300","20.06557","3.84241"
"16.07400","20.06681","3.84292"
"16.07500","20.06806","3.84344"
"16.07600","20.06931","3.84396"
"16.07700","20.07055","3.84427"
"16.07800","20.07180","3.84415"
"16.07900","20.07305","3.84385"
"16.08000","20.07430","3.84373"
"16.08100","20.07554","3.84377"
"16.08200","20.07679","3.84372"
"16.08300","20.07804","3.84356"
"16.08400","20.07929","3.84360"
"16.08500","20.08054","3.84402"
"16.08600","20.08179","3.84466"
"16.08700","20.08304","3.84530"
"16.08800","20.08429","3.84598"
"16.08900","20.08554","3.84682"
"16.09000","20.08679","3.84763"
"16.09100","20.08804","3.84811"
"16.09200","20.08929","3.84817"
"16.09300","20.09054","3.84796"
"16.09400","20.09179","3.84773"
"16.09500","20.09304","3.84772"
"16.09600","20.09430","3.84807"
"16.09700","20.09555","3.84869"
"16.09800","20.09680","3.84942"
"16.09900","20.09805","3.85011"
"16.10000","20.09931","3.85065"
"16.10100","20.10056","3.85092"
"16.10200","20.10182","3.85080"
"16.10300","20.10307","3.85035"
"16.10400","20.10432","3.84982"
"16.10500","20.10558","3.84933"
"16.10600","20.10683","3.84871"
"16.10700","20.10808","3.84793"
"16.10800","20.10934","3.84723"
"16.10900","20.11059","3.84685"
"16.11000","20.11185","3.84668"
"16.11100","20.11310","3.84658"
"16.11200","20.11435","3.84662"
"16.11300","20.11561","3.84674"
"16.11400","20.11686","3.84664"
"16.11500","20.11812","3.84605"
"16.11600","20.11937","3.84508"
"16.11700","20.12062","3.84412"
"16.11800","20.12188","3.84337"
"16.11900","20.12313","3.84288"
"16.12000","20.12438","3.84273"
"16.12100","20.12564","3.84307"
"16.12200","20.12689","3.84385"
"16.12300","20.12814","3.84492"
"16.12400","20.12940","3.84619"
"16.12500","20.13065","3.84738"
"16.12600","20.13190","3.84808"
"16.12700","20.13316","3.84816"
"16.12800","20.13441","3.84798"
"16.12900","20.13567","3.84783"
"16.13000","20.13692","3.84769"
"16.13100","20.13817","3.84749"
"16.13200","20.13943","3.84747"
"16.13300","20.14068","3.84795"
"16.13400","20.14194","3.84890"
"16.13500","20.14319","3.85001"
"16.13600","20.14444","3.85109"
"16.13700","20.14569","3.85212"
"16.13800","20.14695","3.85298"
"16.13900","20.14820","3.85348"
"16.14000","20.14945","3.85368"
"16.14100","20.15071","3.85380"
"16.14200","20.15196","3.85385"
"16.14300","20.15321","3.85366"
"16.14400","20.15447","3.85340"
"16.14500","20.15572","3.85364"
"16.14600","20.15697","3.85465"
"16.14700","20.15823","3.85597"
"16.14800","20.15948","3.85698"
"16.14900","20.16073","3.85749"
"16.15000","20.16198","3.85764"
"16.15100","20.16323","3.85748"
"16.15200","20.16449","3.85696"
"16.15300","20.16574","3.85622"
"16.15400","20.16699","3.85553"
"16.15500","20.16824","3.85509"
"16.15600","20.16949","3.85486"
"16.15700","20.17074","3.85477"
"16.15800","20.17200","3.85486"
"16.15900","20.17325","3.85503"
"16.16000","20.17450","3.85514"
"16.16100","20.17575","3.85510"
"16.16200","20.17700","3.85481"
"16.16300","20.17825","3.85414"
"16.16400","20.17949","3.85301"
"16.16500","20.18074","3.85154"
"16.16600","20.18200","3.84997"
"16.16700","20.18324","3.84852"
"16.16800","20.18449","3.84737"
"16.16900","20.18574","3.84661"
"16.17000","20.18699","3.84612"
"16.17100","20.18824","3.84564"
"16.17200","20.18949","3.84511"
"16.17300","20.19074","3.84451"
"16.17400","20.19198","3.84379"
"16.17500","20.19323","3.84275"
"16.17600","20.19448","3.84129"
