Strain : Tensile strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"100.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"26.60000","44.29920","0.48898"
"26.70000","44.46591","0.47494"
"26.80000","44.63273","0.48632"
"26.90000","44.79911","0.49689"
"27.00000","44.96583","0.50443"
"27.10000","45.13246","0.51148"
"27.20000","45.29909","0.51503"
"27.30000","45.46565","0.51911"
"27.40000","45.63242","0.53985"
"27.50000","45.79919","0.54254"
"27.60000","45.96592","0.54374"
"27.70000","46.13263","0.54267"
"27.80000","46.29923","0.54830"
"27.90000","46.46584","0.55176"
"28.00000","46.63250","0.57141"
"28.10000","46.79901","0.57594"
"28.20000","46.96555","0.57768"
"28.30000","47.13241","0.59265"
"28.40000","47.29930","0.59507"
"28.50000","47.46604","0.59336"
"28.60000","47.63247","0.60358"
"28.70000","47.79924","0.61485"
"28.80000","47.96586","0.61409"
"28.90000","48.13239","0.61643"
"29.00000","48.29903","0.61747"
"29.10000","48.46561","0.62153"
"29.20000","48.63237","0.62483"
"29.30000","48.79926","0.63772"
"29.40000","48.96599","0.64125"
"29.50000","49.13269","0.65553"
"29.60000","49.29910","0.67097"
"29.70000","49.46577","0.68340"
"29.80000","49.63253","0.68686"
"29.90000","49.79907","0.68698"
"30.00000","49.96571","0.70493"
"30.10000","50.13241","0.70353"
"30.20000","50.29922","0.70744"
"30.30000","50.46601","0.71946"
"30.40000","50.63256","0.71287"
"30.50000","50.79924","0.73181"
"30.60000","50.96583","0.73680"
"30.70000","51.13252","0.73638"
"30.80000","51.29909","0.73973"
"30.90000","51.46567","0.73825"
"31.00000","51.63246","0.74679"
"31.10000","51.79918","0.74961"
"31.20000","51.96592","0.76297"
"31.30000","52.13256","0.76540"
"31.40000","52.29930","0.77277"
"31.50000","52.46585","0.78599"
"31.60000","52.63244","0.81197"
"31.70000","52.79905","0.81708"
"31.80000","52.96577","0.81952"
"31.90000","53.13229","0.83041"
"32.00000","53.29926","0.82565"
"32.10000","53.46593","0.83943"
"32.20000","53.63255","0.84573"
"32.30000","53.79919","0.85475"
"32.40000","53.96581","0.85411"
"32.50000","54.13254","0.86068"
"32.60000","54.29904","0.86373"
"32.70000","54.46562","0.88647"
"32.80000","54.63222","0.90569"
"32.90000","54.79916","0.90021"
"33.00000","54.96619","0.90032"
"33.10000","55.13267","0.90254"
"33.20000","55.29925","0.90426"
"33.30000","55.46586","0.91816"
"33.40000","55.63246","0.93123"
"33.50000","55.79911","0.93380"
"33.60000","55.96562","0.94070"
"33.70000","56.13245","0.96154"
"33.80000","56.29929","0.97800"
"33.90000","56.46592","0.98190"
"34.00000","56.63266","0.98718"
"34.10000","56.79917","0.99443"
"34.20000","56.96577","0.99302"
"34.30000","57.13240","1.00961"
"34.40000","57.29908","1.01378"
"34.50000","57.46577","1.01346"
"34.60000","57.63238","1.01438"
